,root
WavesofClewBayreelThe,2
CallaghansProgress,2
MaggieShanleysSlide,9
HumorsofRossThe,2
SpringFieldJigThe,7
BallinasloeFairreel,9
ItsanIllWind,7
MaulykevaneJigThe,9
TaylorsFancyslide,2
BucksofDublinThe,7
PriestoftheBoots,2
MichosTentreel,7
DrimcongJigThe,9
WhiteMountainreelThe,2
OvertheHillsandFarAwaypolka,7
SparetheRodreel,7
HareintheHeatherreelThe,4
JohnJoeGannonshornpipe,7
TullaReelreelThe,4
PaddyfromClarereel,2
DukesRetreathornpipeThe,4
HurlersMarchThe,7
MurphyfromWexford,2
LordWellingtonreel,7
OCallaghansreel,7
JacksonsRambles,2
RowsomesKerryJig,7
MissRamsayreel,2
ScotchHuntreelThe,9
MartinAnsborosreel,4
LastNightsFun1reel,2
SkyOverFenitreelThe,2
KillaloeBoatThe,9
YourMothersFairPetreel,2
OFlynnsFancyreel,7
FarewelltoLeitrimreel,2
PaddyByrnesQuickStep,7
PerfectCureThe,2
DayIMetTomMoylanreelThe,2
GirlsoftheCountyMayoreelThe,7
JackMaguiresReel,2
PubattheCrossroadshornpipeThe,9
MyLoveisinAmericareel,2
TomConnorsJig,2
LadiesStepUptoTea,9
OSheastheManreel,7
TakeHerOutandAirHerreel,2
MovinginDecencyreel,4
ManfromDungannonreelThe,7
RollingintheRyegrass2reel,2
RisingSuna1reelThe,2
KilbahaReelThe,2
KerrymansCloghornpipeThe,7
SlideJohnBThe,2
LovelyAnnereel,9
MrsGalvinsFancyhpipe,2
PrimroseGirlreelThe,7
SoldiersJoyThe,7
GeorgeRawleyshpipe,9
OldConcertinareelThe,2
JacktheDeckhandreel,7
MaryEllenshornpipe,4
SchottischePolkaThe,7
DooaghPolkaThe,7
ReelofMullinavatreelThe,4
RakishPaddyreel,7
JacksonsReel,7
GatehouseMaidreelThe,9
Killorans1polka,7
MissButlersreel,7
JackieFitzpatricksreel,7
DisputeattheCrossroadreel,4
UpDowntheStairs,2
TynaghJigThe,7
AnotherRoundofPunch,7
NewMissMcLeodreelThe,0
NonieStackingTurfpolka,9
CordalJigThe,2
AtlanticWavereelThe,7
NewportLassThe,2
HawthornJigThe,4
JohnnyLovesMolly,2
GerryCroninsreel,0
DustyMillerThe,2
UnionReel,9
GillansApples,2
RollickingSkipperThe,7
CrehansFiddle,2
KillavalFancyreelThe,2
MaryMcMahonreel,2
CaptainfromCavanpolkaThe,2
HumorsofMultyfarnhamThe,2
BucksofOranmorereelThe,2
EmpireStateReel2The,7
NoonLassesreelThe,7
MissMcGuinnessreel,7
DenisEnrightsSlide,2
BarmaidreelThe,0
WalshsHornpipe,9
GrandpaTommysCeiliBand2reel,7
TopoftheMorningreel,7
Mulqueenshornpipe,7
PrideofAhamorereelThe,7
TatterJackWalsh,7
MaidIntheCherryTreereelThe,9
BallykealJig,7
DrummondLassesreelThe,7
YoullComeHomewithMe,7
OneofTommyshornpipe,7
CoachRoadtoSligoThe,7
LongfordCollectorreelThe,7
PrettyWelshMaidreelThe,7
BoysontheHilltopreel,9
JimmyWardsJig,7
HumorsofEderneyreelThe,9
CavanReelThe,2
JohnDohertysReel1,2
HighRoadtoLintonreel,9
JohnnysGonetoFrancereel,4
WexfordReelThe,2
KillarneyBoysofPleasurereel,7
MillersDaughter1reelThe,9
PaddyORafferty2,7
OConnellsTriptoParliament2reel,2
ElmGroveThe,7
BlacksmithReillysReelThe,2
LightingtheLampsreel,2
GullaneJigThe,2
GlenCottage2polka,9
LisheenReelThe,2
McGoldricksReel,2
CastlemahonLassesreelThe,7
CuckoosNesthornpipe,7
BrightMayMoonreelThe,9
TomHillshornpipe,2
GirloftheBigHouseThe,7
AshmoleanHousereel,2
ToormoreJigThe,2
BonnyAnnereel,2
HagattheKilnslide,7
EastOfGalway,7
HighJigThe,9
FatherAhearnsreel,7
UpperRoomreelThe,7
IrelandForever,9
MunsterShanachieThe,4
GannonsDozen,2
LassAmongthePrimrosesreelThe,4
KevinMahonsreel,2
MyLoveBetweenTwoRosesreel,2
BogofAllenThe,2
HumorsofTuamgraneyThe,9
SilverSlipperReelThe,2
HagattheChurnThe,7
HerGoldenHairWasCurlingDown,2
TinkersBibreelThe,9
JohnsonsReel,4
RakesofDrumlishThe,9
PrimroseGlenThe,7
JimmyGiblinsReel,2
CroninsKitchenpolka,9
SouthwestWind,2
TommyWhelansreel,7
IHaveaBonnetpolka,7
IdRatherBeMarriedthanLeft,2
CrossingtheChannel,2
OCallaghansHornpipe,7
PulltheKnifeStickItAgain,4
AchreidhJigThe,0
DowsersFavoritereelThe,7
TellHerIAm,7
WhentheCockCrowsItisDay,7
IdRatherBeMarriedthanLeftslide,2
WhyDidntILoveMary,7
DuffysReel,11
EleanorKanesreel,7
CominThrotheRye,2
BlacksmithreelThe,7
PrimroseLassreelThe,7
MarysDreamreel,2
HisCoworYoursreel,2
CorneyisComingreel,7
CurlyMikereel,2
PhilipOBeirnesDelightreel,2
AhSurelyreel,7
BerkshireHeightsreel,2
MilltownLassesreelThe,0
MickeyMurphysSlide,2
ShamrockJigThe,9
DrunkenGaugersetdanceThe,7
Lackeysreel,7
LetsBeDrinking,9
Walshsreel,7
LangsternPony,2
TimDillonsReel,2
WheelsoftheWorldThe,7
BlackbirdhornpipeThe,2
BallinalarkeyMaidsreelThe,7
MothersDelightreel,2
TomRowsomesSlide,7
BoysofThomastownThe,7
FloggingReel,7
CroninsFavorite,9
McCahills2reel,2
JohnDohertysReel2,9
LondonLassesreelThe,7
HagWiththeMoneyThe,2
DucksintheOatsThe,7
KishkeamLadiesThe,2
MaidofHolywellreelThe,2
MistontheRiverhornpipeThe,7
PaddyORafferty1,2
MoheravoguereelThe,9
FoxhunterReel,9
LadyfromBaltimorereelThe,7
MickeyConnellsHornpipe,7
KidThe,7
FarrellOGarareel,2
WillyReidys2polka,7
BeanaTiArLarreel,2
BrothersPipesreel,2
GoingtotheRaces,7
AlexandersMarch,4
MaryoftheGrovereel,4
UnionReelThe,9
GerryCommanesreel,7
SkylarkreelThe,2
MillersDaughter2reelThe,7
FairhairedBoyThe,9
KillannansFancyreel,7
GinleysFancyreel,7
SailorsBonnetreelThe,2
FatherKellysReel,7
OldJohns,9
SettingoftheSunreelThe,2
PipeontheHobThe,7
MaidOfMitchelstownreelThe,2
LimerickHuntThe,2
ConcertinaReelThe,2
YellowWattleThe,7
DillonsReel,7
BridalPolkaThe,2
DragHerAroundtheRoadreel,4
PrayerIsBetterThanaTuneA,9
RisingSunbreelThe,2
TomBillys,2
ShoemakersFancyThe,7
TempleglantineReel1The,9
RussiansAreComingreelThe,7
TriptoDurrowreelThe,2
DennisCroninsJig,2
BellesofStLouisreel,7
NewPostOfficereelThe,2
UnfortunateRakeThe,4
MulloysReel,2
JollySevenreel,9
DevaneysGoatreel,2
BiddytheDarlingslide,2
CurraghRacesreelThe,7
DancingMastersReelpolkaThe,7
KisstheBrideinBedreel,2
MissRamseyreel,2
LandsofScotlandThe,7
TriptoYorkshireThe,7
BathMedleyThe,7
HarbourstownHousereel,7
MissLaceyshornpipe,7
AngryPeelerThe,7
ThrushintheBushThe,7
RedhairedMolly,2
MyWifesMyOwn,9
OldSlipperShoereelThe,7
BrosnaSlide,9
EweReelThe,7
GarryCastle,7
MaudMillarreel,4
JohnFlynnsJig,7
MrsCrehansreel,7
SpeedthePloughreel,2
ThomasHornpipe,2
BrownChestThe,2
FaithThenIWillSaidtheFiddler,2
GoldRingonYou,2
BiddyMartinpolka,2
JertheRiggerpolka,9
BoyintheTreereelThe,9
NellieMahoneysSlide,7
PeterStreetreel,7
PadraigsHopereel,7
MartinMulhaires9reel,2
FoynesJig,2
MoloneysFlutereel,7
LeitrimFancyThe,4
ThrushintheStormreelThe,2
WhiteLeafreelThe,7
LassintheParlourThe,9
CarmelMahoneyMulhairereel,0
BlackthornStickreelThe,2
CabinHunterreelThe,4
MollyFromLongford,9
INeerShallWeanHer,9
ChristmasNight,2
BigJohnsReel,2
OldFavoriteThe,7
WheelsoftheWorldreelThe,7
BoyintheBoatreelThe,2
MountainLarkreelThe,7
HappytoMeet,7
DucksDieonChristmasDay,2
IfIHadaWife,7
TrueDaughterofSligoreelA,9
MistressoftheHousereelThe,7
WomanoftheHousereelThe,7
IrishFrolicThe,2
MemoriesofKeshreel,2
SligoJigThe,4
SplendidHornpipeThe,2
DunmoreLassesreelThe,4
CarlowTinkerreelThe,2
Reillysreel,4
OldBrownSlipperThe,7
TrimtheVelvetreel,7
OShaughnessysReel,7
MusicalMulvihillsreelThe,7
Murphyshornpipe,2
BuckintheWoodThe,7
DimmersreelThe,7
LastNightsFun,7
MungoKellyreel,4
BlueBellsreelThe,4
MalloysFavoritereel,7
GlountaneReelThe,2
SistersReturn,2
TomWardsDownfallreel,7
PorterorButtermilkhornpipe,2
CollegeGrovereelThe,7
HuntersPrizepolkaThe,2
JennyTieYourBonnetreel,9
RustyBoatreelThe,2
TonyLowespolka,7
JackWadethePiperreel,4
BoyintheGapreel,2
RipplesontheRiverhornpipe,2
MissJennyspolka,7
BoysOfTheLoughreelThe,2
SweeneysDreamreel,2
PaddyMcFaddens,9
Fitzgeraldshornpipe,7
MaidintheRushesreelThe,7
JoeDerranes,7
DollytheGypsybarndance,7
CallaghanfromClare,2
DarkGirlDressedinBlue1slideThe,2
BoatontheStrandThe,7
FowneysFancypolka,4
TomBillysPolka,9
StoneChurchPolkaThe,2
DairymaidreelThe,2
CullenSlide2The,7
BallinaLassreelThe,7
HumorsofLissadellreelThe,4
ConnollysReelreel,2
JennyDangtheWeaverreel,2
AghavasReel2The,7
GreenFieldsofGlentownreelThe,9
JuliaCliffordspolka,2
HeatherBreezereelThe,7
TommyCoensJig,7
CartysReel,4
GeorgeWhitesFavoritereel,7
TameensReel,7
BaileantSamhraidh,4
JauntingCarforSix,9
RathmoreFarmerThe,2
JennyPickingCocklesreel,9
FairMissMcGunnessreel,9
YellowKidpolkaThe,7
NightingaleThe,9
CupofTeareelThe,7
LittleRedRockreelThe,2
ContradictionreelThe,7
RamblingConnachtmanreelThe,7
BanksofNewfoundlandThe,7
HowstheWifehornpipe,7
OldTipperaryJigThe,7
GregorysHornpipe,2
AnnamaculeenReel,4
FunattheFair,7
UpperchurchPolka1The,7
PeacocksFeather2hornpipe,2
LadsofLaoisreelThe,4
MissMonaghansreel,2
KisstheMaidBehindtheBarrelreel,7
TirnaskeaLassesreelThe,7
NewpuckReelThe,2
RoadtoClonmelreelThe,2
SatinSlipperReel2The,2
LurganHornpipeThe,7
LarkintheMorningThe,2
PaddyOBriensReel,7
CornerHousereelThe,9
MurneenPolkaThe,2
MauraConnollysreel,9
BillyMcCormicks,7
KittyintheLanereel,7
SwallowsTailreelThe,9
PirateShipreelThe,7
GustysFrolics,7
PatKelleghers,7
EndoftheSetThe,2
SmilesandTearsofErinreel,7
TomConnorshornpipe,7
PivotHornpipeThe,2
GreenTeaReelThe,2
NorthernSlopereelThe,2
UpstairswithYouslide,7
JuneinDublinreel,7
WhiteCockadepolkaThe,7
SoreFootreelThe,9
SpikeIslandLassesreelThe,7
GowelReelThe,4
ReelofDarraghThe,2
GilbertClancysreel,7
LannamacreeJigThe,7
SportingNellreel,7
KillinureReelThe,9
ConCurtinsBigBalloon,7
WaterfordGirlsThe,2
CastleKellyreel,9
LadyDollSinclairreel,9
TureengarbhGlenpolka,7
BeautySpotreelThe,0
DukeofLeinsterHornpipeThe,7
BerriesontheBushpolka,7
BankofTurfhornpipe,7
LordGordonreel,2
FredFinnsreel,2
PromenadeSideStepThe,9
AndersonsReel,2
JohnFlemingsSlide,7
MissLangfordreel,2
EightandFortySistersreelThe,7
RisingSuna2reelThe,2
ByrnesHornpipe,2
TenpennyBit,9
LimerickJigThe,7
TomsMyOtherSonpolka,4
WellingtonsReel,9
FourShoves1polkaThe,2
SailorsFarewellreelThe,7
GreenGrovesofErinreelThe,9
LadyGordonsreel,2
RyansRantreel,0
SilverGrovehornpipeThe,2
DarkGirlDressedinBlue2polka,2
CornhillReelThe,2
ChainthePony,2
MaidoftheGlenreelThe,2
LordWilsonsHornpipe,2
Hawkeshornpipe,9
TommyCowleys,7
MovingBogsreel,2
FanningsJig,7
BatintheBelfryThe,2
BrandyWithBreakfastreel,2
BasketofEggs21666jig,7
DaisyFieldsreelThe,2
MissMcLeodsPolka,2
WinkHerAside,7
TailorsThimblereelThe,2
CarthysReel,7
LawsonsHornpipe,7
DickySherlocksReel,2
PrideofCloontiareelThe,7
RollHerintheHaystackreel,2
LadyontheIslandreelThe,2
SillyOldManThe,7
SolusLillisReel,0
ChatteringMagpiereelThe,7
OMahonysHornpipe,7
CrossesofAnnaghreel,7
WhinnyHillsofLeitrimThe,7
MunsterButtermilk,2
GreenGownedLassreel,7
RattlethePeas,2
CongressreelThe,9
MoigCrossSlideThe,7
DoonReel,2
OConnellsWelcometoParliament,7
LovelyLassieWinkingreel,2
DanOKeeffesSlide,7
ElizabethKellysDelightsj,9
BasketofTurfThe,4
LongHillsofMournereelThe,7
MauriceManleyspolka,9
HawthornBlossomreelThe,7
WrenHornpipeThe,7
MonsignorsBlessingreel,2
BackGardenpolkaThe,2
MastersSportingPaddyreelThe,9
TuneoftheRagreelThe,7
SheepontheMountainsThe,7
WesttheHillhornpipe,7
BashfulBachelor2hornpipe,7
RiptheCalicoreel,2
HumorsofKeshThe,7
DashtoPortobelloreel,2
DanieloftheSun,7
RyansFlutereel,9
ConnellsContributionreel,2
UptoYourKneesinSandreel,4
TigerHornpipeThe,7
EastPartofKerrypolkaThe,2
Flahertyshornpipe,2
PomeroyFiddlerreelThe,4
SpeyinSpatereelThe,2
BashfulBachelor1hornpipe,7
PaddyOBriensHornpipe,2
SparrowsNestThe,2
WindyGapreelThe,7
FairyQueenhornpipeThe,2
BonnieKatesecondversionreel,2
Cloonereel,0
PipersChairThe,7
OConnellsFarewelltoDublinreel,9
KingofJigsThe,7
WiseMaidreelThe,2
DukeofLeinsterreelThe,7
RoseintheHeatherThe,2
JamesGannonsDelight,2
StoneyBatter,2
HorseHillSlideThe,7
ColonelRogersreel,7
TwoBirdsintheTreereel,9
FoghornHornpipeThe,2
MickeyCallaghansJig,2
JohnSlatterysReel,7
PrideofKildarereelThe,7
AllRoundtheRoomreel,2
LooBridgeJigThe,7
PortrushJigThe,9
CareysDreamreel,2
HumorsofTirconnellreelThe,9
EmpireStateReel1The,5
UpandAboutIntheMorningslide,2
KaiserslideThe,2
MossyBanksbreelThe,7
DillonBrownreel,9
PlainsofBoylehornpipeThe,2
MerryHarriersreelThe,9
PigeonsWaitforEasterreel,4
AustinTierneysreel,2
FairhairedBoyreelThe,2
RoaringMaryreel,2
CrossesofAnnagh2reelThe,9
TonrasJig,2
TenpennyPieceThe,7
PipersLordMcDonaldreelThe,7
OrangeandGreen,7
FrazersReel,7
TwoandSixpennyGirl,7
ElizabethKellys,9
BridgetFlynnsreel,4
LimestoneRockreelThe,7
KnocknaboulPolka1,7
McDonaghsReel1,2
MargotJacksonreel,7
PinchofSnuffreelThe,2
SheahansFancy,4
ButchersMarchiThe,7
RattletheQuilt,9
McDermottshornpipe,2
MintintheCornreel,2
ClimbingVinereelThe,4
MollyMaguirereel,7
NineMileHousereel,2
HenandHerClutchreelThe,9
VolunteerReelThe,7
FatherSkehansJig,2
JacksonsPostChaise,4
WildDucksFlightThe,2
TenpennyBitThe,9
RoughRoadreelThe,7
JennysWelcometoCharliereel,2
SkyWithoutCloudspolkaA,2
GurglingoftheChurnThe,4
PatWardsslide,2
MastersDrowsyMaggiereelThe,4
IrishmansBlackthornreelThe,9
FahysJig,7
SettingSunJigThe,2
MrsRossJig,2
LancersQuadrillepolka,7
MissKellysFavoritereel,4
FourShoves2polkaThe,2
TeeReeReelThe,9
RockfieldCottagesreelThe,7
KellysJig,7
TearIttoRags,2
TumbletheTailor,7
GodSpeedthePloughreel,7
FairWindreelThe,7
BoyneWaterhornpipeThe,9
SouthRoadtoAranThe,2
Kanesreel,2
CalendarJigThe,4
CrabsintheGreasepot,7
JennysFollyreel,7
SilverSpirereelThe,2
FairWindreel,9
RantingWidowreelThe,4
Killorans2polka,7
ChristeningreelThe,2
FlowersofSpringThe,9
PrettyGirlsofMayoreelThe,7
RedSkyatSunset,2
LaurasDelight,4
KilcumminSlide,7
FarnaughtJigThe,7
MillersMaidreelThe,2
PeacocksFeather1hornpipe,2
Glencolmcillereel,2
GrandGatesofAnnesbrookreelThe,7
AntrimRosereel,2
RollingintheBarrelreel,4
StageReelThe,7
JamesGannonsJig,2
StonyStepsreelThe,2
PrestonsReel,7
LordMounteaglesreel,2
MasonsApronreelThe,9
DannyAbsslide,9
DroversLads,7
BoyintheGapreelThe,2
MissLyonsFancyreel,2
GillespiesHornpipe,7
GlassanSlideThe,2
KnocknaboulPolka2,7
JimmyDoylesFavoritepolka,7
SligotoDublinpolka,7
DivingDuckpolkaThe,7
McDonaghsReel2,4
TaptheBarrelreel,7
DublinPorterreel,7
ReensPolkaThe,2
OwenmorePolkaThe,7
MangansFancyreel,2
TadeentheDonkey,7
BoysofBallyscallyThe,7
TosstheFeathersreel,7
SallyGardensreelThe,7
WillieColemans,7
LiverpoolBreakdownhpipeThe,7
IrishGirlreelThe,2
MaidOfCastlebarreelThe,2
ShoveIntoMeJoaniepolka,7
BeggarmansReelThe,4
HumorsofCastlefinnreelThe,4
GannonsDelight,2
PleasanttoStart,2
LassofBallintra2reelThe,2
BlackSticksreelThe,7
