title,Krumhansl-Shmuckler,simple weights,Aarden Essen,Bellman Budge,Temperly Kostka Payne,as transcribed,final_note,freq note,freq weighted acc,certainty,root,expert assigned
McKiernan's Reel,4,4,4,4,4,7,9,11,7,0.56,4,4
Con's Limerick Lasses (reel),9,7,9,0,0,0,4,11,2,0.33,0,0
"Silly Old Man, The",7,7,7,7,7,7,2,7,11,0.78,7,7
Osborn's #5 (polka),7,7,7,7,7,7,7,7,7,1,7,7
"Crimlin Cat (reel), The",4,4,4,7,7,7,9,9,9,0.33,9,9
"College Grove (reel), The",2,7,2,7,2,7,2,2,6,0.56,2,2
Johnny O'Leary's  (polka),2,2,2,2,2,2,2,9,9,0.78,2,2
Kennaw's (reel),7,7,7,7,7,7,2,0,2,0.67,7,2
"Hare's Foot (reel), The",4,7,4,7,7,7,7,11,4,0.56,7,7
Mulqueen's (hornpipe),2,7,2,7,7,7,11,2,7,0.56,7,7
"Longford Collector (reel), The",4,4,4,4,4,7,4,11,7,0.67,4,7
"Basket of Turf, The",4,4,4,9,4,4,4,11,4,0.78,4,4
Murphy from Wexford,2,2,2,2,2,2,2,9,2,0.89,2,2
O'Callaghan's Hornpipe,4,7,4,7,7,7,6,2,2,0.44,7,7
"Lamp in the Window  (reel), The",7,7,7,7,7,2,7,2,2,0.67,7,7
John Potts' Reel,7,7,7,7,7,7,7,11,9,0.78,7,7
Lucy Campbell (reel) 2,2,2,2,2,2,2,2,9,2,0.89,2,2
"Tee-Ree Reel, The",7,7,7,7,7,9,9,11,4,0.56,7,9
Annesbrook House (reel),2,7,2,2,2,2,2,9,9,0.67,2,2
"Basket of Turf, The 2",4,4,4,2,2,4,4,7,4,0.67,4,4
Knocknaboul Polka (1),7,7,7,7,7,7,7,11,2,0.78,7,7
"Cordal Reel, The",2,2,2,2,2,2,1,4,6,0.67,2,2
Tansey's Favorite (reel),7,7,7,7,7,7,6,7,7,0.89,7,7
"Fall of Snow , The",7,7,7,7,7,7,7,7,11,0.89,7,7
Whelan's,4,4,4,4,4,4,9,6,11,0.67,4,4
"Midwestern Reel , The",4,4,4,9,2,4,4,4,11,0.67,4,4
Sporting Paddy (reel),4,9,4,2,4,9,9,4,7,0.44,4,9
Grandpa Tommy's Ceili Band 2 (reel),7,7,7,7,7,7,7,11,7,0.89,7,7
"Moheravogue (reel), The",4,4,4,4,4,9,9,11,7,0.56,4,9
Carthy's Reel,2,2,2,2,2,7,2,2,6,0.78,2,2
"True Daughter of Sligo  (reel), A",2,2,2,2,2,9,9,11,7,0.56,2,9
"First Month of Summer (reel), The",9,9,9,9,9,9,2,1,4,0.67,9,9
Jenny Picking Cockles (reel),2,2,2,2,2,4,7,4,7,0.56,2,2
Maura Connolly's (reel),4,7,4,7,7,9,9,7,0,0.44,7,9
Denis Enright's Slide,2,2,2,2,2,2,2,6,9,0.78,2,2
"Gypsy Polka 1 & 2, The",7,7,7,7,7,7,2,9,9,0.67,7,7
Martin Wynne's #3 ( ) (reel),7,7,7,7,7,7,7,7,11,0.89,7,7
Meenacross Jig,2,2,2,2,2,2,2,9,6,0.78,2,2
Dublin Porter (reel),4,7,4,7,7,7,7,7,4,0.67,7,7
Lord Mounteagle's (reel),2,2,2,2,2,2,2,2,2,1,2,2
"Glin Cottage  (polka), The",4,4,4,4,4,4,9,4,7,0.78,4,4
Dillon Brown  (reel),9,9,9,9,9,9,9,1,9,0.89,9,9
"Day After the Fair, The",4,4,4,4,4,4,4,9,11,0.78,4,4
When the Cock Crows It is Day,7,7,7,7,7,7,7,7,7,1,7,7
O'Connell's Trip to Parliament 1 (reel),2,7,2,2,2,2,2,2,6,0.78,2,2
James Gannon's Jig,2,2,2,2,2,2,2,11,9,0.78,2,2
"Mossy Banks (a) (reel), The",4,7,4,7,7,9,7,9,0,0.44,7,7
"Primrose Lass (reel), The",7,7,7,7,7,7,7,9,11,0.78,7,7
Wink Her Aside,7,7,7,7,7,7,7,7,7,1,7,7
"Kilkenny Priest , The",2,2,2,2,2,2,2,6,2,0.89,2,2
Devaney's Goat (reel),2,2,2,2,2,2,2,6,9,0.78,2,2
"Cuckoo Hornpipe , The",7,7,7,7,7,7,0,7,2,0.78,7,7
"White Mountain (reel), The",2,2,2,2,2,2,9,9,11,0.67,2,2
"Fisherman's Lilt (reel), The",0,9,0,0,0,9,0,4,4,0.56,0,0
"Schottische Polka, The",2,2,2,2,2,7,8,2,11,0.67,2,2
"Flowers of Red Hill (reel), The",4,7,4,7,7,9,9,7,11,0.44,7,9
"Scotch Hunt (reel), The",4,7,4,7,7,9,7,4,0,0.44,7,9
"Wise Maid (reel), The",2,2,2,2,2,2,2,6,2,0.89,2,2
"Barmaid (reel), The",0,0,0,0,0,0,0,0,7,0.89,0,0
"Pride of Slieve Aughty, The",7,7,7,7,7,7,7,11,2,0.78,7,7
Johnson's Reel,4,11,4,2,2,4,4,4,11,0.56,4,4
Sligo to Dublin  (polka),7,7,7,7,7,7,7,2,11,0.78,7,7
Glen Cottage (2) (polka),2,9,2,2,2,9,9,4,4,0.44,2,9
"Banks of the Hudson  (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
"Fields of Westmeath , The",11,2,11,2,2,2,2,2,2,0.78,2,2
"Gallowglass Jig, The",9,9,9,9,9,9,9,9,4,0.89,9,9
"Girls of the County Mayo (reel), The",4,7,4,7,7,7,7,11,4,0.56,7,7
Ducks Die on Christmas Day,2,2,2,2,2,2,2,9,2,0.89,2,2
"Streamstown Hornpipe , The",2,2,2,2,2,2,2,2,2,1,2,2
"Bright Lake Polka , The",4,7,4,7,7,7,7,11,11,0.56,7,7
"Waterford Girls, The",2,2,2,2,2,2,2,2,2,1,2,2
"Railroad (reel), The",7,7,7,7,7,4,7,7,2,0.78,7,7
Mister Flynn's Favorite Reel,2,11,2,2,2,2,2,6,6,0.67,2,2
Tommy Coen's Jig,7,7,7,7,7,7,7,2,7,0.89,7,7
Duffy's Reel,11,11,11,9,11,11,11,11,11,0.89,11,11
"Old Slipper Shoe (reel), The",9,7,9,7,7,7,2,2,9,0.44,7,2
"Musical Priest (reel), The",11,11,11,11,11,11,11,11,2,0.89,11,11
Bedford Cross,2,2,2,2,2,2,9,4,4,0.67,2,9
Cronin's Favorite,4,7,4,2,7,9,9,4,4,0.44,4,9
Murphy's Greyhound (reel),4,2,4,2,7,9,7,7,4,0.33,4,7
"End of the Set , The",2,2,2,2,2,2,2,6,9,0.78,2,2
Berries on the Bush  (polka),7,2,7,7,7,7,7,11,11,0.67,7,7
"Mistress of the House (reel), The",7,7,7,7,7,7,7,9,4,0.78,7,7
Peter Street (reel),2,7,2,2,2,7,11,4,4,0.44,2,7
Harbourstown House (reel),7,7,7,7,7,7,7,2,7,0.89,7,7
"Taste of Scotland  (reel), A",4,7,4,2,4,9,9,7,7,0.33,4,9
Paddy's Choice  (reel),4,4,4,2,4,7,9,9,9,0.44,4,9
"Rusty Boat  (reel) , The",2,2,2,2,2,2,1,2,9,0.78,2,2
Dicky Sherlock's Reel,11,11,11,11,2,2,2,11,4,0.56,11,2
"Lass of Ballintray (reel), The",7,7,7,7,7,7,7,7,2,0.89,7,7
Gannon's Delight,2,2,2,2,2,2,2,6,6,0.78,2,2
Killarney Boys of Pleasure (reel),2,9,2,2,2,7,6,6,11,0.44,2,4
"Russians Are Coming (reel), The",7,7,7,7,7,7,7,0,2,0.78,7,7
Mary McMahon  (reel),2,2,2,2,2,2,7,2,6,0.78,2,2
"Highway to Kilkenny , The",4,7,4,7,4,7,4,7,7,0.56,7,7
How Far to Ennis   (reel),7,7,7,7,7,7,2,11,0,0.67,7,7
Sister's Return,2,2,2,2,2,2,2,9,9,0.78,2,2
"Ewe Reel, The",7,7,7,7,7,7,7,7,2,0.89,7,7
"Rocky Road to Dublin, The",7,7,7,7,7,7,2,11,4,0.67,7,9
"Splendid Hornpipe, The",2,2,2,2,2,2,2,2,6,0.89,2,2
Hawke's (hornpipe),2,9,2,2,2,9,9,4,9,0.44,9,9
Mister Henry's Single Jig,2,2,2,2,2,2,2,2,9,0.89,2,2
Dolly & the Gypsy   (barn dance),7,7,7,7,7,7,7,11,9,0.78,7,7
Lawson's Hornpipe,7,7,7,7,7,7,7,9,11,0.78,7,7
"Stony Steps (reel), The",2,2,2,2,2,2,11,9,9,0.67,2,2
I Furnished Up My House (h'pipe),9,9,9,2,9,9,9,9,4,0.78,9,9
"Master's Sporting Paddy (reel), The",7,7,7,7,7,9,9,7,11,0.67,7,7
Miss Cox (reel),7,7,7,7,7,7,7,7,7,1,7,7
"Blackbird (hornpipe), The",2,7,2,2,2,2,2,9,6,0.67,2,2
"Sunday Bells  (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
"Boy in the Gap (reel), The",2,2,2,2,2,2,2,9,9,0.78,2,2
Within a Mile of Dublin (reel),2,7,2,7,2,7,7,9,9,0.44,7,2
"Miller's Daughter 1 (reel), The",9,9,9,9,9,9,9,1,9,0.89,9,9
"Blacksmith (reel), The",7,7,7,7,7,7,9,11,2,0.67,7,7
Gorman's Reel,2,2,2,2,2,2,2,2,2,1,2,2
Tameen's Reel,4,7,4,7,7,7,9,7,7,0.67,7,7
"Derrymore Reel, The",2,2,2,2,2,2,2,6,9,0.78,2,2
Down the Gravel  (reel),4,2,4,2,7,9,11,9,9,0.33,9,9
Moving in Decency (reel),2,2,2,2,2,4,4,4,11,0.56,2,4
"Humors of Whiskey, The 2",4,7,4,7,7,7,9,9,11,0.44,7,4
Mickey Connell's Hornpipe,7,7,7,7,7,7,6,0,2,0.67,7,7
Callaghan from Clare,2,2,2,2,2,2,2,6,4,0.78,2,2
Julia Clifford['s] (polka),2,2,2,2,2,2,2,2,9,0.89,2,2
Free and Easy  (reel),2,7,2,7,2,7,9,7,11,0.44,7,2
"Rollicking Skipper, The",4,7,4,0,7,7,7,4,4,0.44,4,7
Brown Bread and Cheese  (polka),2,2,2,2,2,2,2,9,11,0.78,2,2
Johnny Bring the Box  (polka),2,2,2,2,2,2,2,2,7,0.89,2,2
West the Hill (hornpipe),7,7,7,7,7,7,7,7,9,0.89,7,7
Lady Gordon (reel),2,2,2,2,2,2,2,2,9,0.89,2,2
"Great Eastern Polka, The",4,11,4,4,4,7,7,11,9,0.44,4,7
Sheahan's Fancy,4,4,4,4,4,4,4,6,11,0.78,4,4
"Sligo Jig, The",11,11,11,11,11,4,4,6,11,0.67,11,4
"Earl's Chair (reel), The",2,2,2,2,2,2,2,2,11,0.89,2,2
"Old Brown Slipper, The",4,4,4,4,4,7,7,11,11,0.56,4,7
Good for Starters  (slide),11,2,11,2,2,2,2,2,2,0.78,2,2
"Pinkeen , The",2,2,2,2,2,2,2,2,2,1,2,2
"Thrush in the Storm (reel), The",2,2,2,2,2,2,2,2,6,0.89,2,2
"Glountane Reel, The",2,2,2,2,2,2,2,2,6,0.89,2,2
Summer in Ireland (reel),2,2,2,2,2,2,2,6,7,0.78,2,2
"Dimmers (reel), The",7,7,7,7,7,7,7,0,11,0.78,7,7
Doctor Gilbert (reel),4,4,4,2,2,4,4,11,4,0.67,4,4
"Union Reel, The",9,9,9,2,9,9,6,9,4,0.67,9,9
"Climbing Vine (reel), The",4,4,4,4,4,4,4,11,11,0.78,4,4
Roaring Mary (reel),2,2,2,2,2,2,2,2,9,0.89,2,2
"Road to Clonmel (reel), The",2,2,2,2,2,2,2,9,9,0.78,2,2
Rolling in the Barrel (reel),9,4,9,9,9,4,4,4,11,0.44,9,4
Callaghan's Slide,2,2,2,2,2,2,2,9,11,0.78,2,2
Paddy from Clare (reel),2,2,2,2,2,2,1,2,2,0.89,2,2
Miss Lacey's  (hornpipe),7,7,7,7,7,7,7,11,11,0.78,7,7
Hare in the Corn (2),7,4,7,4,7,7,7,11,11,0.56,7,7
"Pigeon on the Gate 1 (reel), The",2,2,2,2,2,9,2,4,4,0.67,2,9
Jolly Seven (reel),9,0,9,0,0,9,9,0,0,0.56,0,9
"Silver Slipper Reel, The",2,2,2,2,2,2,2,9,6,0.78,2,2
John Joe's,2,2,2,2,2,2,2,9,11,0.78,2,2
Sean Ryan's  Dooney Rock,7,7,7,7,7,9,9,11,7,0.67,7,9
Maud Millar  (reel),4,7,4,7,7,4,6,4,4,0.56,4,7
"Kiltycreen Reel, The",11,9,11,2,2,4,1,4,11,0.33,11,4
"Lady from Baltimore  (reel), The",4,7,4,7,7,7,2,7,7,0.67,7,7
"Templeglantine Reel 2, The",2,7,2,2,2,7,2,6,9,0.56,2,2
Byrne's Hornpipe,2,2,2,2,2,2,2,2,2,1,2,2
Upstairs with You (slide),7,2,7,7,7,7,2,11,11,0.56,7,7
"Fantastic Reel , The",2,2,2,2,2,2,2,9,6,0.78,2,2
Lancers' Quadrille (polka),7,7,7,7,7,7,7,11,7,0.89,7,7
Lackey's (reel),7,7,7,7,7,7,7,7,7,1,7,7
Killannan's Fancy (reel),4,7,4,7,7,7,9,7,7,0.67,7,7
"Rakes of Terrygolden (reel), The",7,7,7,7,7,7,7,2,11,0.78,7,7
Speed the Plough (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
Gerry Commane's (reel),2,2,2,2,2,7,7,2,9,0.67,2,2
"Upper Room (reel), The",2,7,2,7,2,7,9,2,2,0.56,2,2
"Limerick Jig, The",4,7,4,2,7,7,7,6,7,0.56,7,7
"Battle of Aughrim (polka), The",9,9,9,2,9,9,9,9,9,0.89,9,9
Martin Mulhaire's #9 (reel),2,2,2,2,2,2,2,2,2,1,2,2
"Leitrim Reel, The",4,4,4,4,11,4,4,4,4,0.89,4,4
"Dusty Miller, The",7,2,7,2,7,2,2,9,9,0.44,2,2
"Poor Old Woman (polka), The",4,7,4,7,7,7,7,7,7,0.78,7,7
Rosemary Lane,2,2,2,2,2,2,2,2,2,1,2,2
"Rockfield Cottages (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
Billy McCormick's,4,2,4,2,7,7,9,11,9,0.22,9,9
"West Wind (reel), The",7,7,7,7,7,7,7,9,9,0.78,7,7
"Salt and Pepper Polka , The",4,7,4,7,7,7,7,11,11,0.56,7,7
"River Meadow  (polka), The",2,2,2,7,2,2,2,11,6,0.67,2,2
"Primrose Glen, The",7,7,7,7,7,7,7,2,4,0.78,7,7
Cronin's Kitchen  (polka),2,2,2,2,7,9,9,4,9,0.44,2,9
"Leitrim Jig, The",2,7,2,7,7,7,7,2,2,0.56,7,7
Tureengarbh Glen (polka),7,7,7,7,7,7,7,2,11,0.78,7,7
