,Hamming distance (weighted)
NLB152784_01,31.0
NLB074769_01,31.0
NLB072721_01,31.0
NLB073339_01,31.0
NLB074007_01,31.0
NLB072862_01,31.0
NLB073803_01,31.0
NLB074378_02,31.0
NLB073862_01,31.0
NLB145525_01,31.0
NLB074603_01,31.0
NLB074246_02,31.0
NLB141314_01,31.0
NLB075074_01,31.0
NLB074672_01,31.0
NLB075906_01,31.0
NLB072587_01,31.0
NLB074004_01,32.0
NLB074840_01,32.0
NLB073685_01,32.0
NLB073324_01,32.0
NLB074840_02,32.0
NLB075616_01,32.0
NLB071478_01,32.0
NLB074308_01,32.0
NLB076303_01,32.0
NLB071944_01,32.0
NLB073225_02,32.0
NLB073991_02,32.0
NLB076271_01,32.0
NLB072851_01,32.0
NLB075831_01,32.0
NLB073076_01,32.0
NLB072360_01,32.0
NLB076128_01,32.0
NLB075881_02,32.0
NLB073804_02,32.0
NLB074309_01,32.0
NLB075848_01,32.0
NLB162684_01,32.0
NLB073225_01,32.0
NLB073879_02,32.0
NLB072500_01,32.0
NLB112233_01,32.0
NLB075065_01,33.0
NLB074956_01,33.0
NLB075325_01,33.0
NLB071957_03,33.0
NLB074334_01,33.0
NLB072559_01,33.0
NLB073777_01,33.0
NLB074246_01,33.0
NLB072553_01,33.0
NLB075313_01,33.0
NLB074938_01,33.0
NLB074166_01,33.0
NLB075532_01,33.0
NLB072355_02,33.0
NLB074342_01,33.0
NLB072968_01,33.0
NLB072499_01,33.0
NLB070360_01,34.0
NLB072358_01,34.0
NLB072357_01,34.0
NLB072355_12,34.0
NLB072356_02,34.0
NLB074349_01,34.0
NLB146608_01,34.0
NLB144042_01,34.0
NLB073269_02,34.0
NLB073866_01,35.0
NLB075307_03,35.0
NLB072774_02,36.0
NLB073120_01,37.0
