,Levenshtein distance
NLB073672_01,28
NLB162684_01,28
NLB076130_07,28
NLB072482_01,28
NLB075848_01,28
NLB074077_02,28
NLB141649_01,28
NLB076076_01,28
NLB072358_01,28
NLB075325_01,29
NLB075739_03,29
NLB071478_01,29
NLB075313_01,29
NLB073269_02,29
NLB074349_01,29
NLB073076_01,29
NLB070360_01,29
NLB075325_02,29
NLB074246_01,29
NLB072774_02,29
NLB074246_02,29
NLB073120_01,29
NLB076271_01,29
NLB074309_01,29
NLB074547_02,30
NLB073866_01,30
NLB144042_01,30
NLB072895_01,30
NLB075742_01,30
NLB145525_01,30
NLB072559_01,30
NLB074004_01,30
NLB070996_01,30
NLB072862_01,30
NLB072968_01,31
NLB075881_02,31
NLB146608_01,31
NLB072500_01,31
NLB072553_01,31
