,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
87,74,92,1,80,2,1,4,10,10,1,-5
88,78,93,1,80,6,4,4,14,2,1,-4
89,76,94,1,95,4,-2,4,12,0,-1,-5
90,73,95,1,80,1,-3,4,9,9,-1,-6
91,74,96,1,80,2,1,4,10,10,1,-5
92,73,97,1,80,1,-1,4,9,9,-1,-6
93,71,98,1,105,11,-2,4,7,7,-1,-7
94,64,99,1,80,4,-7,4,0,0,-1,-8
95,64,100,2,80,4,0,4,0,0,0,-8
96,67,102,1,95,7,3,4,3,3,1,-7
97,71,103,1,80,11,4,4,7,7,1,-6
98,69,104,1,80,9,-2,4,5,5,-1,-7
99,67,105,1,80,7,-2,4,3,3,-1,-8
100,66,106,0,105,6,-1,4,2,2,-1,-9
101,64,106,0,80,4,-2,4,0,0,-1,-10
102,62,107,0,80,2,-2,4,-2,10,-1,-11
103,69,108,1,80,9,7,4,5,5,1,-10
104,62,109,1,80,2,-7,4,-2,10,-1,-11
105,71,110,1,95,11,9,4,7,7,1,-10
106,62,111,1,80,2,-9,4,-2,10,-1,-11
107,69,112,1,80,9,7,4,5,5,1,-10
108,66,113,1,80,6,-3,4,2,2,-1,-11
109,67,114,1,105,7,1,4,3,3,1,-10
110,66,115,1,80,6,-1,4,2,2,-1,-11
111,64,116,1,80,4,-2,4,0,0,-1,-12
112,66,117,1,80,6,2,4,2,2,1,-11
113,67,118,1,95,7,1,4,3,3,1,-10
114,69,119,1,80,9,2,4,5,5,1,-9
115,71,120,1,80,11,2,4,7,7,1,-8
