,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
202,DerrymoreReelThe,2,6,9,6,9
203,AshplantreelThe,4,11,11,11,11
204,MattPeoples1reel,2,9,11,9,11
205,MouseintheCupboardThe,7,7,11,7,11
206,McGuckiansReel,4,2,11,2,11
207,MissPattersonsSlippersreel,4,4,11,4,11
208,SliabhRussell,7,9,4,9,4
209,JollyBangerreel,7,7,2,2,2
210,LedlowsChimesreel,7,11,11,11,11
211,MaidAttheWellThe,7,7,7,7,7
212,MissGunningsDelightreel,7,11,7,11,7
213,CashenbridgePolkaThe,2,4,4,4,4
214,FirstofAugustreelThe,7,7,7,7,7
215,QueenoftheCeilireelThe,2,2,11,2,11
216,LobsterreelThe,7,7,9,7,9
217,PatOBeirnesFavorite,7,7,11,7,11
218,ConOFlynnsJig,7,6,9,6,9
219,MooneysReel,7,7,11,7,11
220,EileenOLoughlinsreel,2,2,2,2,2
221,QuinnsJig,7,11,7,7,7
222,BobandJoanStoneybatter,7,7,7,7,7
223,LassofBallintra1reelThe,7,7,2,7,4
224,OakTreereelThe,2,9,6,9,6
225,CallanLassesreelThe,2,2,2,2,2
226,DollyVardenpolkaThe,7,7,7,7,7
227,SteeplechasereelThe,0,0,7,0,7
228,HillsofKeshreelThe,9,2,7,4,7
229,PaddyFahysReel3,0,0,0,0,0
230,OldOakTreereelThe,2,6,6,6,6
231,JacksonsJig,7,11,11,11,11
232,LassieatthePlowreelThe,2,9,6,9,6
233,RollHerintheRushesreel,7,0,4,2,4
234,WanderingMinstrelThe,2,9,9,9,6
235,BarrelofWashreelThe,2,6,2,6,2
236,HighlandersKneebucklereelThe,7,7,11,7,11
237,BoringtheLeather,7,2,9,9,9
238,TomKeanesreel,2,9,1,9,1
239,HumorsofTullareel,2,2,2,2,2
240,KerryCowpolkaThe,2,9,1,9,1
241,MartinWynnes3reel,7,7,7,7,7
242,JamesMcMahonsJig,2,2,4,2,4
243,MartinMulhairesreel,7,2,4,2,4
244,CrookedReelThe,9,11,11,9,11
245,ODonoghuesPub,2,9,4,4,4
246,FriezeBreechesThe,2,9,9,9,9
247,McFarleysReel,2,2,11,2,11
248,Whelans,4,6,11,11,11
249,PadraigOKeeffesSlide1,2,1,9,1,9
250,MattHayesJig,2,6,2,6,2
251,ShepherdsDaughterreelThe,2,4,4,4,4
252,SwaggeringRakeThe,4,4,11,9,11
253,HuntersPursereelThe,9,4,4,4,0
254,BanishMisfortune,0,2,0,2,0
255,McKiernansReel,7,11,4,11,7
256,TinkersOccupationreelThe,2,2,0,4,9
257,OldKerryCowreelThe,2,2,9,2,9
258,ButchersMarchiiThe,7,11,4,11,4
259,OConnellsTriptoParliament1reel,2,2,2,2,6
260,JohnJoes,2,9,9,9,11
261,Bogansreel,2,6,9,6,9
262,HazelStickThe,7,7,11,7,11
263,PipersDelusionreelThe,7,7,11,2,11
264,FatoftheLandreelThe,2,9,2,11,2
265,DowntheGortRoadreel,7,7,11,7,2
266,ConsLimerickLassesreel,0,4,7,0,7
267,PaddyFahysReel2,0,0,0,7,0
268,MammaNugentsPetreel,7,2,9,2,9
269,GlennOwenreel,7,2,9,2,9
270,BarrelRaffertys,9,9,9,9,9
271,LiamsReel,7,2,4,2,4
272,WithinaMileofDublinreel,7,2,9,2,6
273,CoppersandBrass,7,7,9,7,9
274,HielanmansKneebucklereelThe,2,2,2,2,2
275,GarrettBarrys,7,2,2,2,0
276,GrandpaTommysCeiliBand1reel,7,11,7,11,7
277,JohnKellysFavoritereel,0,7,5,7,5
278,JohnBrennanfromSligoreel,2,9,9,9,9
279,LampintheWindowreelThe,2,2,2,2,2
280,PoorOldWomanpolkaThe,7,7,7,7,7
281,MartinWynnesReel1,2,6,6,6,6
282,BonnieKatefirstversionreel,2,2,2,2,2
283,MurphysGreyhoundreel,9,7,4,7,4
284,CastleofGoldhornpipe,7,7,7,7,7
285,MeenacrossJig,2,9,6,9,6
286,JohnPottsReel,7,11,9,11,9
287,SeanRyansDooneyRock,9,11,7,11,7
288,Kennawsreel,7,2,6,2,2
289,RoverReelThe,7,0,9,7,9
290,BedfordCross,2,4,4,4,4
291,HaresFootreelThe,7,11,4,11,4
292,GeeseintheBogThe,2,9,9,9,9
293,ShipDoctorThe,4,4,7,4,7
294,FarewelltotheHeatherreel,9,4,6,4,6
295,BresnahansFrolics,4,11,11,9,11
296,MissMcDonaldreel,7,7,4,7,4
297,WestWindreelThe,7,9,9,7,9
298,LomanachCrossreel,7,7,2,7,2
299,TasteofScotlandreelA,9,7,7,4,7
300,EveninginClarereelAn,9,0,0,0,0
301,BillHartes,7,2,9,2,9
302,BreensHornpipe,9,9,2,9,2
303,GreenFieldsofRossbeighreelThe,4,11,11,11,11
304,MidwesternReelThe,4,4,4,6,4
305,TabbyCatpolkaThe,2,2,4,2,7
306,BlackhairedLassreelThe,2,9,1,9,1
307,SlowTraintoDublinreelThe,2,9,6,9,6
308,PatsyTuoheysreel,4,4,11,4,11
309,HagsPurseThe,7,2,0,2,9
310,BeesintheCherryTree,7,7,7,7,7
311,OvertheMoortoPeggyreel,7,2,2,11,2
312,StoneintheFieldreelThe,9,9,9,9,9
313,resaRyanshornpipe,7,7,11,11,11
314,BigBarneysJig,7,2,2,2,2
315,PaddysChoicereel,7,9,4,9,4
316,ComingHomefromtheBogreel,7,7,7,7,7
317,DublinLassesreelThe,4,4,11,4,11
318,SunnyBanksreelThe,2,6,6,6,6
319,GooseberryBushreelThe,7,2,9,2,9
320,HumorsofCarrigaholtreel,2,2,2,2,2
321,PriestinHisBootsThe,7,9,9,9,9
322,BoysofKilsarnereelThe,7,11,7,11,11
323,ClareReelThe,7,7,9,7,11
324,NinePointsofRogueryreel,2,2,2,2,2
325,BakersReelThe,7,11,2,11,2
326,FarewelltoErinreel,2,2,2,6,2
327,JimKeeffesPolka,2,2,2,2,2
328,LucyCampbellreel,2,9,2,9,2
329,OConnellsReel,2,2,9,2,9
330,TopItOff,2,2,2,2,2
331,GreigsPipesreel,7,7,9,7,9
332,BoltonStreetreel,2,4,11,4,11
333,MissCoxreel,7,7,7,7,7
334,AnthonyFrawleysJig,7,2,2,2,2
335,MickHandsreel,9,7,4,7,4
336,HardRoadThe,7,7,7,7,7
337,GanderatthePratieHoleThe,7,2,6,2,6
338,JohnFennellsJig,4,4,4,4,4
339,DayAftertheFairThe,4,9,11,11,11
340,RailroadreelThe,4,7,2,7,2
341,ConnachtHeifersreelThe,7,7,9,7,9
342,HorseshoeThe,4,7,7,7,7
343,TimeWellSpenthornpipe,9,9,9,9,4
344,SportingDaysofEasterreelThe,7,2,2,2,9
345,MissGeraldinesJig,2,2,4,2,4
346,GreenPigeonreelThe,7,2,7,2,7
347,OldHagBewareslide,7,7,7,7,7
348,DanSweeneys1polka,9,9,9,9,9
349,MyLoveisSuchaFairOnereel,7,7,11,7,11
350,DustyMiller,7,11,11,11,11
351,McMahonsReel,7,11,4,11,4
352,NewPolicemanreelThe,7,7,7,7,4
353,ClonmelFiddlerpolkaThe,4,11,11,4,11
354,JosieMcDermottsreel,7,7,7,7,7
355,LucyMcKennas,9,9,0,9,0
356,ButchersJigThe,7,9,4,9,4
357,TanseysFavoritereel,7,7,7,7,7
358,NewbornLambpolkaThe,2,11,9,11,9
