,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
662,BrosnaSlide,9,4,4,4,4
663,EweReelThe,7,7,2,7,2
664,GarryCastle,7,7,7,7,7
665,MaudMillarreel,4,4,4,4,4
666,JohnFlynnsJig,7,2,2,7,2
667,MrsCrehansreel,7,7,7,7,7
668,SpeedthePloughreel,2,2,6,6,6
669,ThomasHornpipe,2,2,2,2,2
670,BrownChestThe,2,9,6,9,6
671,FaithThenIWillSaidtheFiddler,2,2,2,9,2
672,GoldRingonYou,2,2,2,2,2
673,BiddyMartinpolka,2,4,6,4,6
674,JertheRiggerpolka,9,4,9,4,9
675,BoyintheTreereelThe,9,11,4,11,4
676,NellieMahoneysSlide,7,9,7,9,7
677,PeterStreetreel,7,2,2,2,2
678,PadraigsHopereel,7,7,7,7,7
679,MartinMulhaires9reel,2,2,9,2,2
680,FoynesJig,2,6,2,2,2
681,MoloneysFlutereel,7,11,2,7,7
682,LeitrimFancyThe,4,11,6,11,6
683,ThrushintheStormreelThe,2,2,6,2,6
684,WhiteLeafreelThe,7,2,4,2,4
685,LassintheParlourThe,9,2,2,2,4
686,CarmelMahoneyMulhairereel,0,4,7,4,7
687,BlackthornStickreelThe,2,2,2,2,2
688,CabinHunterreelThe,4,6,7,6,2
689,MollyFromLongford,9,4,11,4,11
690,INeerShallWeanHer,9,4,0,2,0
691,ChristmasNight,2,6,2,6,9
692,BigJohnsReel,2,4,7,4,7
693,OldFavoriteThe,7,11,2,11,7
694,WheelsoftheWorldreelThe,7,2,2,2,4
695,BoyintheBoatreelThe,2,9,0,9,9
696,MountainLarkreelThe,7,7,9,9,9
697,HappytoMeet,7,11,11,11,11
698,DucksDieonChristmasDay,2,9,9,2,2
699,IfIHadaWife,7,2,7,11,7
700,TrueDaughterofSligoreelA,9,11,11,11,7
701,MistressoftheHousereelThe,7,9,7,9,4
702,WomanoftheHousereelThe,7,11,4,11,4
703,IrishFrolicThe,2,9,9,9,4
704,MemoriesofKeshreel,2,2,2,6,2
705,SligoJigThe,4,6,11,6,11
706,SplendidHornpipeThe,2,2,6,2,6
707,DunmoreLassesreelThe,4,4,7,4,7
708,CarlowTinkerreelThe,2,9,4,9,4
709,Reillysreel,4,4,11,6,11
710,OldBrownSlipperThe,7,11,11,4,11
711,TrimtheVelvetreel,7,9,2,9,2
712,OShaughnessysReel,7,7,2,7,2
713,MusicalMulvihillsreelThe,7,7,7,7,7
714,Murphyshornpipe,2,2,2,6,2
715,BuckintheWoodThe,7,7,0,7,0
716,DimmersreelThe,7,0,11,11,11
717,LastNightsFun,7,0,0,0,0
718,MungoKellyreel,4,11,7,11,7
719,BlueBellsreelThe,4,4,11,4,11
720,MalloysFavoritereel,7,7,11,9,9
721,GlountaneReelThe,2,2,6,2,6
722,SistersReturn,2,9,9,9,9
723,TomWardsDownfallreel,7,7,11,7,4
724,PorterorButtermilkhornpipe,2,2,6,6,6
725,CollegeGrovereelThe,7,2,6,2,9
726,HuntersPrizepolkaThe,2,6,9,9,9
727,JennyTieYourBonnetreel,9,6,7,7,9
728,RustyBoatreelThe,2,2,9,2,9
729,TonyLowespolka,7,7,9,7,9
730,JackWadethePiperreel,4,6,11,6,11
731,BoyintheGapreel,2,2,4,2,4
732,RipplesontheRiverhornpipe,2,6,2,6,2
733,MissJennyspolka,7,11,7,11,7
734,BoysOfTheLoughreelThe,2,6,9,6,9
735,SweeneysDreamreel,2,6,6,6,6
736,PaddyMcFaddens,9,4,4,9,4
737,Fitzgeraldshornpipe,7,11,9,9,9
738,MaidintheRushesreelThe,7,7,4,11,4
739,JoeDerranes,7,11,2,11,2
740,DollytheGypsybarndance,7,11,7,11,9
741,CallaghanfromClare,2,9,2,6,4
742,DarkGirlDressedinBlue1slideThe,2,6,2,6,2
743,BoatontheStrandThe,7,11,2,11,2
744,FowneysFancypolka,4,2,11,2,11
745,TomBillysPolka,9,11,4,7,4
746,StoneChurchPolkaThe,2,4,2,4,4
747,DairymaidreelThe,2,6,2,6,2
748,CullenSlide2The,7,9,9,9,9
749,BallinaLassreelThe,7,7,4,7,4
750,HumorsofLissadellreelThe,4,2,4,6,4
751,ConnollysReelreel,2,2,2,2,2
752,JennyDangtheWeaverreel,2,6,6,6,6
753,AghavasReel2The,7,7,2,7,2
754,GreenFieldsofGlentownreelThe,9,4,4,4,4
755,JuliaCliffordspolka,2,2,9,2,9
756,HeatherBreezereelThe,7,7,6,7,6
757,TommyCoensJig,7,9,7,9,4
758,CartysReel,4,11,11,11,11
759,GeorgeWhitesFavoritereel,7,11,7,11,7
760,TameensReel,7,7,7,7,7
761,BaileantSamhraidh,4,4,11,4,4
762,JauntingCarforSix,9,4,4,4,4
763,RathmoreFarmerThe,2,6,9,6,9
764,JennyPickingCocklesreel,9,9,7,9,7
765,FairMissMcGunnessreel,9,9,9,4,9
766,YellowKidpolkaThe,7,9,11,9,11
767,NightingaleThe,9,4,7,4,4
768,CupofTeareelThe,7,4,7,4,7
769,LittleRedRockreelThe,2,6,2,6,6
770,ContradictionreelThe,7,2,11,2,7
771,RamblingConnachtmanreelThe,7,6,7,6,7
772,BanksofNewfoundlandThe,7,7,11,7,11
773,HowstheWifehornpipe,7,11,2,11,7
774,OldTipperaryJigThe,7,7,7,9,7
775,GregorysHornpipe,2,2,2,2,2
776,AnnamaculeenReel,4,11,11,11,11
777,FunattheFair,7,6,7,6,9
778,UpperchurchPolka1The,7,11,2,11,0
779,PeacocksFeather2hornpipe,2,4,9,4,6
780,LadsofLaoisreelThe,4,11,4,11,4
781,MissMonaghansreel,2,7,6,9,6
782,KisstheMaidBehindtheBarrelreel,7,9,0,9,0
783,TirnaskeaLassesreelThe,7,11,11,11,11
784,NewpuckReelThe,2,2,6,6,6
785,RoadtoClonmelreelThe,2,2,6,9,6
786,SatinSlipperReel2The,2,9,9,2,9
787,LurganHornpipeThe,7,11,11,2,11
788,LarkintheMorningThe,2,6,6,6,6
789,PaddyOBriensReel,7,2,9,2,9
790,CornerHousereelThe,9,4,4,4,4
791,MurneenPolkaThe,2,6,9,9,9
792,MauraConnollysreel,9,7,0,7,0
793,BillyMcCormicks,7,9,9,9,9
794,KittyintheLanereel,7,2,0,2,0
795,SwallowsTailreelThe,9,2,7,4,7
796,PirateShipreelThe,7,7,11,7,11
797,GustysFrolics,7,2,9,2,9
798,PatKelleghers,7,11,7,11,7
799,EndoftheSetThe,2,6,9,6,9
800,SmilesandTearsofErinreel,7,7,2,9,6
801,TomConnorshornpipe,7,7,7,7,7
802,PivotHornpipeThe,2,2,4,2,2
803,GreenTeaReelThe,2,2,2,2,2
804,NorthernSlopereelThe,2,2,2,2,2
805,UpstairswithYouslide,7,11,11,9,11
806,JuneinDublinreel,7,2,11,11,11
807,WhiteCockadepolkaThe,7,11,11,11,11
808,SoreFootreelThe,9,9,9,7,9
809,SpikeIslandLassesreelThe,7,2,9,2,9
810,GowelReelThe,4,9,11,11,11
811,ReelofDarraghThe,2,2,2,2,2
812,GilbertClancysreel,7,7,6,7,7
813,LannamacreeJigThe,7,7,11,7,11
814,SportingNellreel,7,2,9,2,9
815,KillinureReelThe,9,9,4,9,4
816,ConCurtinsBigBalloon,7,4,11,4,11
817,WaterfordGirlsThe,2,2,2,2,2
818,CastleKellyreel,9,9,7,9,7
819,LadyDollSinclairreel,9,9,9,4,9
820,TureengarbhGlenpolka,7,2,11,2,11
821,BeautySpotreelThe,0,2,4,2,9
822,DukeofLeinsterHornpipeThe,7,11,2,11,2
823,BerriesontheBushpolka,7,11,7,11,11
824,BankofTurfhornpipe,7,7,7,7,7
825,LordGordonreel,2,2,11,2,11
826,FredFinnsreel,2,2,6,2,6
827,PromenadeSideStepThe,9,4,4,7,7
828,AndersonsReel,2,6,9,2,9
829,JohnFlemingsSlide,7,11,7,11,7
830,MissLangfordreel,2,2,6,2,6
831,EightandFortySistersreelThe,7,11,6,11,4
832,RisingSuna2reelThe,2,9,2,9,2
833,ByrnesHornpipe,2,2,2,2,2
834,TenpennyBit,9,2,4,4,4
835,LimerickJigThe,7,6,7,7,7
836,TomsMyOtherSonpolka,4,11,11,11,11
837,WellingtonsReel,9,9,9,1,9
838,FourShoves1polkaThe,2,2,2,6,2
839,SailorsFarewellreelThe,7,2,7,7,7
840,GreenGrovesofErinreelThe,9,9,4,4,4
841,LadyGordonsreel,2,2,2,11,9
842,RyansRantreel,0,4,0,4,0
843,SilverGrovehornpipeThe,2,2,2,2,9
844,DarkGirlDressedinBlue2polka,2,9,6,9,6
845,CornhillReelThe,2,2,9,2,9
846,ChainthePony,2,4,4,2,2
847,MaidoftheGlenreelThe,2,2,6,2,9
848,LordWilsonsHornpipe,2,2,2,2,2
849,Hawkeshornpipe,9,4,9,4,9
850,TommyCowleys,7,11,11,11,7
851,MovingBogsreel,2,2,2,2,2
852,FanningsJig,7,11,7,6,7
853,BatintheBelfryThe,2,2,4,2,4
854,BrandyWithBreakfastreel,2,2,6,2,6
855,BasketofEggs21666jig,7,11,2,4,2
856,DaisyFieldsreelThe,2,2,2,4,2
857,MissMcLeodsPolka,2,2,6,6,6
858,WinkHerAside,7,7,7,7,7
859,TailorsThimblereelThe,2,2,1,2,1
860,CarthysReel,7,2,6,2,6
861,LawsonsHornpipe,7,9,7,9,11
862,DickySherlocksReel,2,11,4,6,4
863,PrideofCloontiareelThe,7,11,9,11,9
864,RollHerintheHaystackreel,2,2,2,2,2
865,LadyontheIslandreelThe,2,9,4,9,4
866,SillyOldManThe,7,7,11,7,11
867,SolusLillisReel,0,0,4,4,4
868,ChatteringMagpiereelThe,7,7,2,7,7
869,OMahonysHornpipe,7,11,7,7,7
870,CrossesofAnnaghreel,7,9,7,9,9
871,WhinnyHillsofLeitrimThe,7,7,7,7,7
872,MunsterButtermilk,2,6,9,6,9
873,GreenGownedLassreel,7,7,9,7,9
874,RattlethePeas,2,9,9,9,9
875,CongressreelThe,9,4,4,4,4
876,MoigCrossSlideThe,7,4,9,9,9
877,DoonReel,2,9,2,7,7
878,OConnellsWelcometoParliament,7,9,11,9,7
879,LovelyLassieWinkingreel,2,9,11,9,11
880,DanOKeeffesSlide,7,11,2,11,2
881,ElizabethKellysDelightsj,9,7,9,7,9
882,BasketofTurfThe,4,7,4,7,4
883,LongHillsofMournereelThe,7,2,0,2,9
884,MauriceManleyspolka,9,9,7,4,9
885,HawthornBlossomreelThe,7,7,4,7,7
886,WrenHornpipeThe,7,0,4,9,4
887,MonsignorsBlessingreel,2,2,4,2,2
888,BackGardenpolkaThe,2,2,11,2,11
889,MastersSportingPaddyreelThe,9,7,11,7,11
890,TuneoftheRagreelThe,7,2,7,2,7
891,SheepontheMountainsThe,7,2,9,2,9
892,WesttheHillhornpipe,7,7,9,7,9
893,BashfulBachelor2hornpipe,7,11,2,2,11
894,RiptheCalicoreel,2,2,4,6,2
895,HumorsofKeshThe,7,2,7,2,7
896,DashtoPortobelloreel,2,7,7,7,7
897,DanieloftheSun,7,11,11,9,11
898,RyansFlutereel,9,7,4,7,4
899,ConnellsContributionreel,2,2,9,2,9
900,UptoYourKneesinSandreel,4,11,7,6,7
901,TigerHornpipeThe,7,11,2,11,2
902,EastPartofKerrypolkaThe,2,9,6,2,6
903,Flahertyshornpipe,2,2,9,2,9
904,PomeroyFiddlerreelThe,4,4,4,4,4
905,SpeyinSpatereelThe,2,9,2,9,2
906,BashfulBachelor1hornpipe,7,11,0,7,2
907,PaddyOBriensHornpipe,2,2,6,2,9
908,SparrowsNestThe,2,6,6,6,2
909,WindyGapreelThe,7,7,11,7,11
910,FairyQueenhornpipeThe,2,4,2,4,2
911,BonnieKatesecondversionreel,2,2,1,2,1
912,Cloonereel,0,0,7,0,7
913,PipersChairThe,7,7,7,7,7
914,OConnellsFarewelltoDublinreel,9,2,7,2,7
915,KingofJigsThe,7,7,4,7,4
916,WiseMaidreelThe,2,6,2,6,2
917,DukeofLeinsterreelThe,7,11,2,11,2
918,RoseintheHeatherThe,2,2,9,2,2
919,JamesGannonsDelight,2,6,6,9,6
920,StoneyBatter,2,6,6,6,9
921,HorseHillSlideThe,7,9,7,9,7
922,ColonelRogersreel,7,9,7,9,7
923,TwoBirdsintheTreereel,9,9,11,9,11
924,FoghornHornpipeThe,2,2,2,2,2
925,MickeyCallaghansJig,2,9,9,4,2
926,JohnSlatterysReel,7,9,0,9,4
927,PrideofKildarereelThe,7,6,2,6,2
928,AllRoundtheRoomreel,2,2,2,2,2
929,LooBridgeJigThe,7,11,11,11,11
930,PortrushJigThe,9,9,9,9,9
931,CareysDreamreel,2,9,9,9,9
932,HumorsofTirconnellreelThe,9,1,1,1,1
933,EmpireStateReel1The,5,9,0,9,0
934,UpandAboutIntheMorningslide,2,9,4,9,4
935,KaiserslideThe,2,9,9,2,9
936,MossyBanksbreelThe,7,7,11,7,7
937,DillonBrownreel,9,1,11,9,11
938,PlainsofBoylehornpipeThe,2,9,9,9,9
939,MerryHarriersreelThe,9,7,4,7,4
940,PigeonsWaitforEasterreel,4,11,11,11,11
941,AustinTierneysreel,2,9,9,9,9
942,FairhairedBoyreelThe,2,2,6,2,6
943,RoaringMaryreel,2,2,9,2,9
944,CrossesofAnnagh2reelThe,9,7,4,11,4
945,TonrasJig,2,2,9,2,9
946,TenpennyPieceThe,7,11,7,11,4
947,PipersLordMcDonaldreelThe,7,7,11,7,11
948,OrangeandGreen,7,7,2,7,2
949,FrazersReel,7,11,2,11,2
950,TwoandSixpennyGirl,7,11,11,11,7
951,ElizabethKellys,9,9,7,9,9
952,BridgetFlynnsreel,4,11,11,11,11
953,LimestoneRockreelThe,7,11,9,11,9
954,KnocknaboulPolka1,7,11,7,7,2
955,McDonaghsReel1,2,6,9,2,9
956,MargotJacksonreel,7,7,7,7,7
957,PinchofSnuffreelThe,2,6,4,6,7
958,SheahansFancy,4,6,11,6,11
959,ButchersMarchiThe,7,11,4,9,4
960,RattletheQuilt,9,7,4,7,4
961,McDermottshornpipe,2,9,6,9,6
962,MintintheCornreel,2,6,2,6,2
963,ClimbingVinereelThe,4,11,11,11,11
964,MollyMaguirereel,7,7,0,7,9
965,NineMileHousereel,2,2,9,6,9
966,HenandHerClutchreelThe,9,7,11,4,4
967,VolunteerReelThe,7,11,11,11,11
968,FatherSkehansJig,2,11,11,11,11
969,JacksonsPostChaise,4,7,7,7,7
970,WildDucksFlightThe,2,7,7,7,7
971,TenpennyBitThe,9,9,7,9,7
972,RoughRoadreelThe,7,11,7,11,7
973,JennysWelcometoCharliereel,2,9,9,9,9
974,SkyWithoutCloudspolkaA,2,6,7,7,7
975,GurglingoftheChurnThe,4,11,4,11,11
976,PatWardsslide,2,2,9,2,9
977,MastersDrowsyMaggiereelThe,4,11,2,11,2
978,IrishmansBlackthornreelThe,9,11,7,4,9
979,FahysJig,7,11,7,2,7
980,SettingSunJigThe,2,2,9,2,9
981,MrsRossJig,2,6,9,9,9
982,LancersQuadrillepolka,7,7,7,7,7
983,MissKellysFavoritereel,4,11,11,11,11
984,FourShoves2polkaThe,2,2,2,2,2
985,TeeReeReelThe,9,11,9,11,9
986,RockfieldCottagesreelThe,7,11,11,7,11
987,KellysJig,7,2,7,2,7
988,TearIttoRags,2,2,9,2,2
989,TumbletheTailor,7,7,7,7,7
990,GodSpeedthePloughreel,7,2,7,2,7
991,FairWindreelThe,7,9,7,11,11
992,BoyneWaterhornpipeThe,9,9,4,9,4
993,SouthRoadtoAranThe,2,2,2,6,2
994,Kanesreel,2,2,6,2,2
995,CalendarJigThe,4,11,11,11,11
996,CrabsintheGreasepot,7,9,9,9,9
997,JennysFollyreel,7,2,9,2,9
998,SilverSpirereelThe,2,6,2,6,2
999,FairWindreel,9,1,1,11,1
1000,RantingWidowreelThe,4,11,2,11,2
1001,Killorans2polka,7,2,6,2,6
1002,ChristeningreelThe,2,2,2,2,2
1003,FlowersofSpringThe,9,11,9,11,9
1004,PrettyGirlsofMayoreelThe,7,9,9,9,9
1005,RedSkyatSunset,2,6,2,2,2
1006,LaurasDelight,4,7,2,2,2
1007,KilcumminSlide,7,4,7,4,7
1008,FarnaughtJigThe,7,7,7,7,7
1009,MillersMaidreelThe,2,2,2,2,2
1010,PeacocksFeather1hornpipe,2,9,5,9,5
1011,Glencolmcillereel,2,9,6,9,6
1012,GrandGatesofAnnesbrookreelThe,7,9,4,9,7
1013,AntrimRosereel,2,2,4,2,4
1014,RollingintheBarrelreel,4,4,11,4,11
1015,StageReelThe,7,2,2,2,2
1016,JamesGannonsJig,2,11,9,6,9
1017,StonyStepsreelThe,2,9,9,9,9
1018,PrestonsReel,7,7,7,7,7
1019,LordMounteaglesreel,2,2,2,9,2
1020,MasonsApronreelThe,9,1,1,1,1
1021,DannyAbsslide,9,11,11,9,4
1022,DroversLads,7,11,2,11,2
1023,BoyintheGapreelThe,2,9,9,9,9
1024,MissLyonsFancyreel,2,6,2,6,2
1025,GillespiesHornpipe,7,0,2,7,2
1026,GlassanSlideThe,2,11,11,11,11
1027,KnocknaboulPolka2,7,9,7,11,7
1028,JimmyDoylesFavoritepolka,7,11,2,2,2
1029,SligotoDublinpolka,7,2,11,2,11
1030,DivingDuckpolkaThe,7,11,11,11,11
1031,McDonaghsReel2,4,11,11,11,11
1032,TaptheBarrelreel,7,2,0,2,2
1033,DublinPorterreel,7,7,7,7,4
1034,ReensPolkaThe,2,7,2,6,2
1035,OwenmorePolkaThe,7,6,11,11,11
1036,MangansFancyreel,2,2,11,2,11
1037,TadeentheDonkey,7,11,4,11,4
1038,BoysofBallyscallyThe,7,7,2,7,2
1039,TosstheFeathersreel,7,2,9,2,9
1040,SallyGardensreelThe,7,7,2,11,2
1041,WillieColemans,7,2,7,2,7
1042,LiverpoolBreakdownhpipeThe,7,7,7,7,7
1043,IrishGirlreelThe,2,2,6,2,6
1044,MaidOfCastlebarreelThe,2,6,2,6,6
1045,ShoveIntoMeJoaniepolka,7,2,2,2,2
1046,BeggarmansReelThe,4,11,11,11,11
1047,HumorsofCastlefinnreelThe,4,11,11,11,11
1048,GannonsDelight,2,6,2,6,6
1049,PleasanttoStart,2,6,9,6,6
1050,LassofBallintra2reelThe,2,2,2,2,2
1051,BlackSticksreelThe,7,4,4,4,4
1052,MasterMcDermottsreel,2,6,2,6,2
1053,PatsParlour,2,2,9,2,2
1054,RakesofTerrygoldenreelThe,7,2,11,2,11
1055,GaugerreelThe,2,9,1,9,9
1056,DanthePumpreel,7,11,7,11,7
1057,MollyMurphysReel,7,7,7,7,7
1058,GlenCottage1polka,4,11,11,11,11
1059,HighwaytoKilkennyThe,7,7,7,7,7
1060,GameCockreelThe,2,9,11,9,11
1061,SundayBellsreelThe,7,11,11,11,11
1062,LackaghCrosspolka,7,2,2,4,2
1063,ATripToGalway,4,4,4,4,4
1064,PaddyMurphysWifereel,7,2,6,2,6
1065,DanSullivansFancyhornpipe,7,2,7,2,7
1066,SportingPaddyreel,9,4,7,4,7
1067,MrsLongsTartanPlaidreel,7,4,4,2,4
1068,ScullyCaseys2,2,2,9,9,9
1069,KinvaraReelThe,7,7,7,7,7
1070,RainyDayJigThe,7,7,2,7,2
1071,BallinafadFancypolkaThe,7,11,11,11,11
1072,LateHomeatNight,7,11,11,11,11
1073,McFaddensReel1,2,11,6,2,6
1074,LimerickBlacksmithThe,2,6,2,2,2
1075,PipersNewHousehornpipeThe,2,6,2,6,2
1076,AlltheWorldLovesMereel,7,7,2,7,7
1077,WrenHornpipe,7,0,4,9,4
1078,GreenGatesreelThe,7,6,7,2,7
1079,JohnnyOLearyspolka,2,9,9,9,9
1080,TomDowdsFavoritereel,9,7,7,7,7
1081,HighRoadtoDublinThe,2,4,11,4,11
1082,CabinHunterreel,4,6,7,6,2
1083,FroginthePuddleThe,7,7,11,7,11
1084,NewFrockThe,9,2,0,2,0
1085,HumorsofWhiskeyThe,7,9,11,9,11
1086,McDonaghsApples,7,2,6,2,6
1087,CrimlinCatreelThe,7,9,9,9,9
1088,MammysPetreel,2,4,2,4,2
1089,DonegalRamblerreelThe,9,9,4,9,4
1090,ThrowtheBeetleatHer,7,11,11,11,11
1091,JohnColtonsreel,4,11,11,11,4
1092,AlltheWaytoGalwayreel,7,9,9,2,0
1093,HareintheCorn2,7,11,9,11,11
1094,BrianoLaimhinreel,7,11,2,11,2
1095,LimerickSquireThe,2,2,2,2,2
1096,RoscommonReelThe,4,11,9,11,9
1097,Knocknagow2,9,1,1,1,1
1098,MaidofattheSpinningWheelThe,7,9,9,9,9
1099,JackandJillreel,4,2,4,4,4
1100,PollHapennyhornpipe,7,9,7,9,7
1101,MaryBrennansFavorite,7,11,7,11,7
1102,LaCosaMulliganreel,2,4,2,4,2
1103,FallofSnowThe,7,7,2,7,11
1104,MasterHenrysReel,7,7,7,2,7
1105,MissMcGuinessreel,9,2,2,2,2
1106,GrovesofGneeveguilliapolka,9,9,4,9,4
1107,BaconandBeanshornpipe,0,11,0,0,0
1108,AchonryLassesreelThe,7,9,11,9,11
1109,JimMcGuirksReel,7,7,7,7,7
1110,HumorsofWhitegatereelThe,2,9,9,9,9
1111,KiltycreenReelThe,4,4,11,4,11
1112,TopofMaolpolka,4,11,11,4,11
1113,ToptoBottomreel,7,7,7,7,7
1114,MerryBlacksmithreelThe,2,9,11,9,11
1115,HumorsofDrinaghThe,2,7,7,7,7
1116,FortheSakeofOldDecencyreel,7,7,2,11,2
1117,BaileantSamhraidhslide,7,4,9,2,2
1118,SligoMaidreelThe,9,7,11,7,11
1119,MissBrownsFancy,2,4,11,4,4
1120,ScullyCaseyshornpipe,2,2,6,2,6
1121,TimMulloneysreel,7,2,2,2,2
1122,SallysBroomstick,2,2,1,2,1
1123,FahysReel,2,2,2,2,2
1124,MisterJonesKerryReel,7,7,7,7,7
1125,ViewfromBlackHeadThe,2,6,4,6,4
1126,DairyMaidThe,9,9,9,9,7
1127,MonasterevinFancyreelThe,7,11,2,11,2
1128,RookontheThatchreelThe,2,6,11,11,11
1129,OliversOwnreel,7,6,7,7,7
1130,GreenFieldsofAmericareelThe,7,7,9,7,9
1131,ComeUpstairswithMe,7,7,11,7,11
1132,TarmonPolka,7,7,11,7,11
1133,RoadtoBoyleThe,2,9,2,6,2
1134,JohnnyBringtheBoxpolka,2,11,7,11,7
1135,ChurchHill,7,11,9,11,9
1136,ScullyCaseys1,9,9,0,9,0
1137,McFaddensReel2,2,6,2,6,2
1138,ThadyCaseysFancyreel,4,11,11,11,11
1139,JacksAlivereel,7,7,7,11,7
1140,DougansFancyreel,2,9,9,11,9
1141,PaddyBreens,7,11,7,11,7
1142,CuckooHornpipeThe,7,7,2,2,2
1143,GetUpOldWoman,4,11,7,11,7
1144,IHaveNoMoneyreel,2,9,6,6,6
1145,FairandFortyhornpipe,7,2,4,2,4
1146,SonnysLimestoneRockreel,9,11,9,11,9
1147,ButchersMarchiiiThe,7,2,2,2,2
1148,YoungAndStylish,7,9,4,9,0
1149,HumorsofDerrycrossaneThe,7,11,11,11,11
1150,BrightLakePolkaThe,7,11,11,11,11
1151,OKeeffesMusicalGlobeslide,2,2,2,2,2
1152,PrettyBrownGirlThe,7,7,7,7,7
1153,BigRoadtoSligoThe,2,2,4,2,4
1154,EarlsChairreelThe,2,2,11,11,11
1155,HareintheCorn1,2,7,6,7,6
1156,JohnnyMickeysSlide,2,6,6,6,2
1157,DinnyOBriensreel,7,2,0,2,0
1158,TinkersApronreelThe,7,9,0,9,0
1159,MeenacrossReelThe,4,4,7,4,7
1160,WiseNora,7,11,7,11,7
1161,PinkeenThe,2,2,2,2,2
1162,LadyGordonreel,2,2,9,2,9
1163,Knocknagow1,9,9,9,9,9
1164,TaidhgMyDarlingreel,7,11,11,11,11
1165,LadWhoCanDoItThe,2,4,2,4,2
1166,KildareFancyhornpipeThe,2,9,9,2,9
1167,BackofthePipesreel,7,11,7,11,7
1168,JohnKellysSlide,2,11,11,11,2
1169,BasketofEggs1,7,7,9,7,9
1170,CrowleysReel,2,9,9,9,9
1171,CleaningtheHenhousereel,2,6,2,6,2
1172,MusicClubreelThe,2,2,2,6,2
1173,DowntheHilltoDoolinreel,7,7,11,7,11
1174,Lynchsreel,4,11,4,11,4
1175,SaltandPepperPolkaThe,7,11,11,11,11
1176,PigeonontheGate2reelThe,4,9,11,11,11
1177,ThatchersMalletreelThe,7,9,6,9,6
1178,GossoonthatBeatHisFatherreelThe,9,4,11,4,11
1179,OldPigeonontheGateThe,7,7,11,11,11
1180,GlinCottagepolkaThe,4,4,7,4,7
1181,DanSweeneys2polka,9,4,9,9,9
1182,QueenoftheRushesThe,7,2,2,2,7
1183,LuckPennyThe,7,7,7,7,7
1184,AftertheHarereel,7,11,2,11,2
1185,IrishWasherwomanThe,7,7,11,7,11
1186,KilkennyPriestThe,2,6,2,6,2
1187,LeahysJig,2,6,2,6,11
1188,CribofPerchesreelThe,2,9,2,9,2
1189,BattleofAughrimpolkaThe,9,9,9,4,9
1190,FantasticReelThe,2,9,11,9,6
1191,BuckleytheFiddlerreel,7,11,2,11,2
1192,MaidOfMountKiscoreelThe,9,9,4,11,4
1193,LordBanffsReel,2,2,2,2,2
1194,MountScotJigThe,7,7,7,7,7
